Commit URL,File Name,Category,Project Name,Project Types
https://github.com/autofarmnetwork/autofarm-v2-contracts/commit/0f2dfac26ea22a6fba489f88fc23dd64d3cd8454,AutoSwap.sol,Reentrancy,Autofarm,Yield Aggregator
https://github.com/streamr-dev/marketplace-contracts/commit/0240b78d6dd67671a6372cd77e822bfe11f0cc18,contracts/Uniswap2Adapter.sol,Unprotected Ether Withdrawal,/,marketplace
https://github.com/defidollar/defidollar-core/commit/857a90daab1d9d377303c7cb3ee7a1cb9b11d8be,contracts/peaks/Controller.sol,Unprotected Ether Withdrawal,DefiDollar,Algo-Stables
https://github.com/defidollar/defidollar-core/commit/06d2a5d2c0f34ed2849b2e892b2f89994e436608,contracts/peaks/yearn/YVaultPeak.sol,Underflow/Overflow,DefiDollar,Algo-Stables
https://github.com/servntire/Property-Registry/commit/f70dc1d77dee53520ea470fc0ee4d8ee5833babd,contracts/Migrations.sol,Unprotected Ether Withdrawal,servntire,RWA
https://github.com/sonnysangha/lottery-smart-contract/commit/644e6403c4df1ca15e5a0cd1376880807559ae77,Lottery.sol,Reentrancy,lottery-smart-contract,Lottery
https://github.com/notional-finance/contracts/commit/57a802cb6cd7d57ea4c82f2b17e080bf15056213,contracts/Portfolios.sol,Unprotected Ether Withdrawal,Notional Finance,Lending
https://github.com/idexio/idex-contracts-whistler/commit/9faf536e090e9e3168c096cec581dff5cdc3ee0e,contracts/libraries/AssetTransfers.sol,Unchecked Call Return Value,IDEX 2.0,Dexes
https://github.com/idexio/idex-contracts-whistler/commit/23c53b3458e4ee5d53aab34d4ab9c8111d392686,contracts/libraries/AssetRegistry.sol,Underflow/Overflow,IDEX 2.0,Dexes
https://github.com/idexio/idex-contracts-whistler/commit/23c53b3458e4ee5d53aab34d4ab9c8111d39268,contracts/libraries/AssetUnitConversions.sol,Underflow/Overflow,IDEX 2.0,Dexes
https://github.com/ToucanProtocol/contracts/commit/caaec0a5126efa6d83bf9e9bbe0e5ad01d845df5,contracts/ToucanCarbonOffsetsFactory.sol,Unprotected Ether Withdrawal,Toucan,RWA
https://github.com/chronologic/chronologic/commit/25c153b028f2007c0ea6e3f0ef614f4c8c0acd83,contracts/DayToken.sol,Unprotected Ether Withdrawal,chronologic,token
https://github.com/somish/govblocks-protocol/commit/5a2030b7b9b44d54a678c3389f5b3d0a8a858ef1,contracts/Governance.sol,Underflow/Overflow,GovBlocks,Gaming
https://github.com/somish/govblocks-protocol/commit/f402e77261e6e814f7114a52cc5f6ee6fef29ac1,contracts/ProposalCategory.sol,Unprotected Ether Withdrawal,GovBlocks,Gaming
https://github.com/somish/govblocks-protocol/commit/8fe3244e4ec41404660e35369d1d3ee849127fe1,contracts/Governance.sol,Reentrancy,GovBlocks,Gaming
https://github.com/somish/govblocks-protocol/commit/8fe3244e4ec41404660e35369d1d3ee849127fe1,contracts/imports/govern/Governed.sol,Unprotected Ether Withdrawal,GovBlocks,Gaming
https://github.com/charlesndalton/milkman/commit/3e78abe9627ae215dda1eaf336ce3502b3d89d2c,contracts/pricecheckers/SingleSidedBalancerBalWethExpectedOutCalculator.sol,Underflow/Overflow,milkman,services
https://github.com/charlesndalton/milkman/commit/2ee9bd683163c6216987ec8381a74a181b9714b2,contracts/Milkman.sol,Unchecked Call Return Value,milkman,services
https://github.com/Popsicle-Finance/Contracts/commit/4fe2b8dc789dfd26de5267f4d2fca8c64c75b85e,DiamondHands.sol,Unprotected Ether Withdrawal,Popsicle,Liquidity manager
https://github.com/Popsicle-Finance/Contracts/commit/4fe2b8dc789dfd26de5267f4d2fca8c64c75b85e,PopsicleJoint.sol,Unprotected Ether Withdrawal,Popsicle,Liquidity manager
https://github.com/Popsicle-Finance/Contracts/commit/4fe2b8dc789dfd26de5267f4d2fca8c64c75b85e,PopsicleProjectVesting.sol,Unprotected Ether Withdrawal,Popsicle,Liquidity manager
https://github.com/Popsicle-Finance/Contracts/commit/4fe2b8dc789dfd26de5267f4d2fca8c64c75b85e,PopsicleStand.sol,Unprotected Ether Withdrawal,Popsicle,Liquidity manager
https://github.com/Popsicle-Finance/Contracts/commit/4fe2b8dc789dfd26de5267f4d2fca8c64c75b85e,Sorbettiere.sol,Unprotected Ether Withdrawal,Popsicle,Liquidity manager
https://github.com/OpiumProtocol/opium-contracts/commit/503c4c10d54575da40e197d9e408360ea6773aeb,contracts/Core.sol,Underflow/Overflow,Opium,Options
https://github.com/OpiumProtocol/opium-contracts/commit/6f7e89570055e91a691a11e00bce874de5068339,contracts/Core.sol,Underflow/Overflow,Opium,Options
https://github.com/OpiumProtocol/opium-contracts/commit/23e8b1533376af2d03114cb2192a8b7ec8febf13,contracts/Core.sol,Underflow/Overflow,Opium,Options
https://github.com/mangrovedao/mangrove-core/commit/5f31346d0bb49356d75f417f35aa82cdee98f6be,src/core/MgvOfferMaking.sol,Unchecked Call Return Value,Mangrove,Dexes
https://github.com/mangrovedao/mangrove-core/commit/f5fce72d7f8d7a8a905b475967ec71268b847d46,src/core/MgvOfferMaking.sol,Unchecked Call Return Value,Mangrove,Dexes
https://github.com/mangrovedao/mangrove-core/commit/afebe0f28f0a58f3f4a67446c3ad4b84b2e53db1,src/core/MgvOfferMaking.sol,Unchecked Call Return Value,Mangrove,Dexes
https://github.com/Instadapp/InstaContract/commit/0b5f247e44430a5918c886d3dfbb8d6af0efc19c,contracts/v2/InstaBank.sol,Unprotected Ether Withdrawal,InstaDApp,Services
https://github.com/hermeznetwork/contracts/commit/0cc0c87fd9e7422b8cd4455e2a2b3e2506eaff7b,contracts/hermez/Hermez.sol,Reentrancy,Hermez network protocol,DAO
https://github.com/hermeznetwork/contracts/commit/a2ea2951d3c3b9ef5dbb48efb6cabee9ae31abbd,contracts/hermez/Hermez.sol,Reentrancy,Hermez network protocol,DAO
https://github.com/EtherOrcsOfficial/etherOrcs-contracts/commit/babfd995da41c225ccf78180333f0ff423248bb0,src/mainnet/EtherOrcsAllies.sol,Unprotected Ether Withdrawal,EtherOrcs,Gaming
https://github.com/EtherOrcsOfficial/etherOrcs-contracts/commit/babfd995da41c225ccf78180333f0ff423248bb0,src/polygon/EtherOrcsPoly.sol,Unprotected Ether Withdrawal,EtherOrcs,Gaming
https://github.com/EtherOrcsOfficial/etherOrcs-contracts/commit/babfd995da41c225ccf78180333f0ff423248bb0,src/polygon/GamingOraclePoly.sol,Unprotected Ether Withdrawal,EtherOrcs,Gaming
https://github.com/EtherOrcsOfficial/etherOrcs-contracts/commit/47abbf90a42ba5e5cc6a7633c82f38aa1de1dc61,src/mainnet/MainlandPortal.sol,Unprotected Ether Withdrawal,EtherOrcs,Gaming
https://github.com/EtherOrcsOfficial/etherOrcs-contracts/commit/33dbda8faad235c3ec0c3090e9037d8daa61905b,src/mainnet/MainlandPortal.sol,Unprotected Ether Withdrawal,EtherOrcs,Gaming
https://github.com/panoptic-labs/panoptic-v1-core/commit/02cd20d23698f9ae62d6d51262f7043be4146b6c,contracts/libraries/Math.sol,Underflow/Overflow,Panoptic,Options
